FID,rs2,Shape_Leng,Shape_Area,ORIG_FID,POINT_X,POINT_Y
0,1,117471.896280000000000,621901075.445999980000000,1,-87.650168981400000,41.879888076500002
1,2N,202568.471423000010000,1534907027.880000100000000,2,-87.716684910900000,42.006328578900003
2,2NW,252506.051599000000000,1906490887.040000000000000,3,-87.834791804700004,41.996073024300003
3,2S,290937.689223999970000,3644627840.250000000000000,4,-87.615993228500002,41.693943967800003
4,2SW,244066.998962000010000,1806995771.609999900000000,5,-87.741776510799994,41.765798173999997
5,2W,190956.673916000000000,1263052187.730000000000000,6,-87.826003994700002,41.884164322799997
6,2WNW,179217.800419000010000,755821716.355999950000000,7,-87.818207676300005,41.930522515800000
7,2WSW,201440.961485000010000,1297477391.339999900000000,8,-87.826069337199996,41.821300103200002
8,3IN,395696.249094999980000,6035735131.159999800000000,9,-87.400305618800004,41.554352895100003
9,3N,165809.170766000000000,1350788622.180000100000000,10,-87.795376524399998,42.107084555599997
10,3NW,308414.561181999980000,3370530233.739999800000000,11,-88.046154068400000,42.104426700600001
11,3S,382286.060516999980000,7143633049.989999800000000,12,-87.649983624900003,41.437017289499998
12,3SW,384513.121908999980000,4959692757.829999900000000,13,-87.860149597900005,41.649344172100001
13,3W,293249.376072000010000,3435447416.980000000000000,14,-88.091146575200000,41.888088681600003
14,3WNW,307441.669937999980000,3737786868.090000200000000,15,-88.096809847299994,42.001397596399997
15,3WSW,337580.058128000000000,5801822406.109999700000000,16,-88.110710908300007,41.754263230500001
16,4N,318538.645052000010000,2621387255.989999800000000,17,-87.853529937800005,42.322680138400003
17,4NW,692109.094303000020000,27558992009.599998000000000,18,-88.295546051900004,42.324536951900001
18,4SW,634136.677993000020000,18133965366.099998000000000,19,-88.057677389500000,41.436808824800003
19,4W,311938.755469000030000,5540569762.699999800000000,20,-88.438822963700005,41.900580798999997
20,4WNW,321799.745087000020000,5795734856.189999600000000,21,-88.423272657599995,42.069479276999999
21,4WSW,462877.546419000020000,11281827119.700001000000000,22,-88.436870311899995,41.650485568100002
22,XIL,2189964.371350000100000,112878356433.000000000000000,23,-88.921514282299995,41.800383005400001
23,XIN,971373.561069000050000,37090156312.500000000000000,24,-86.986796045299997,41.470325398800000
24,XWI,797264.939643000020000,33343182191.000000000000000,25,-88.288546874999994,42.669794826100002